,Date/Time,Lat,Lon,Base
0,04-01-14 0:11,40.769,-73.9549,B02512
1,04-01-14 0:17,40.7267,-74.0345,B02512
2,04-01-14 0:21,40.7316,-73.9873,B02512
3,04-01-14 0:28,40.7588,-73.9776,B02512
4,04-01-14 0:33,40.7594,-73.9722,B02512
5,04-01-14 0:33,40.7383,-74.0403,B02512
6,04-01-14 0:39,40.7223,-73.9887,B02512
7,04-01-14 0:45,40.762,-73.979,B02512
8,04-01-14 0:55,40.7524,-73.996,B02512
9,04-01-14 1:01,40.7575,-73.9846,B02512
10,04-01-14 1:19,40.7256,-73.9869,B02512
11,04-01-14 1:48,40.7591,-73.9684,B02512
12,04-01-14 1:49,40.7271,-73.9803,B02512
13,04-01-14 2:11,40.6463,-73.7896,B02512
14,04-01-14 2:25,40.7564,-73.9167,B02512
15,04-01-14 2:31,40.7666,-73.9531,B02512
16,04-01-14 2:43,40.758,-73.9761,B02512
17,04-01-14 3:22,40.7238,-73.9821,B02512
18,04-01-14 3:35,40.7531,-74.0039,B02512
19,04-01-14 3:35,40.7389,-74.0393,B02512
20,04-01-14 3:41,40.7619,-73.9715,B02512
21,04-01-14 4:11,40.753,-74.0042,B02512
22,04-01-14 4:15,40.6561,-73.9531,B02512
23,04-01-14 4:19,40.725,-73.9844,B02512
24,04-01-14 4:20,40.695,-74.1783,B02512
25,04-01-14 4:26,40.9859,-74.1578,B02512
26,04-01-14 4:27,40.6879,-74.1814,B02512
27,04-01-14 4:38,40.6878,-74.1816,B02512
28,04-01-14 4:47,40.7234,-73.9974,B02512
29,04-01-14 4:49,40.7336,-73.99,B02512
30,04-01-14 5:08,40.7141,-74.0094,B02512
31,04-01-14 5:12,40.7893,-73.9709,B02512
32,04-01-14 5:18,40.7747,-73.991,B02512
33,04-01-14 5:19,40.7689,-73.9876,B02512
34,04-01-14 5:23,40.7744,-74.0149,B02512
35,04-01-14 5:24,40.7393,-73.9974,B02512
36,04-01-14 5:24,40.7776,-73.9752,B02512
37,04-01-14 5:27,40.6483,-73.7829,B02512
38,04-01-14 5:34,40.6907,-74.1782,B02512
39,04-01-14 5:36,40.7217,-73.9875,B02512
40,04-01-14 5:36,40.7651,-73.9632,B02512
41,04-01-14 5:40,40.7437,-73.9985,B02512
42,04-01-14 5:43,40.7605,-73.978,B02512
43,04-01-14 5:44,40.743,-74.0301,B02512
44,04-01-14 5:44,40.743,-74.0301,B02512
